explanation_id,explanatoriness,surprisingness,usefulness,interestingness,cleverness,willingness_to_share,satisfaction,insight,prior_knowledge,belief_average,participant_id,appeal,submissionScore,commentScore,similarity,commentLength,average_knowledge
84,5,5,5,6,5,5,5,6,FALSE,14,5d29cc8869a747001acdb3c1,5.333333333333333,791,336,0.5838789,563,0.6363636363636364
84,1,1,1,1,1,1,2,1,FALSE,22,63d7fb6ee49281f6c41d6630,1,791,336,0.5838789,563,0.6363636363636364
84,6,6,5,7,6,5,7,6,FALSE,40,6168225aece426c90ad49ff1,6,791,336,0.5838789,563,0.6363636363636364
84,6,2,5,4,3,3,4,2,TRUE,73,63d15e1be853005ff591b935,3.3333333333333335,791,336,0.5838789,563,0.6363636363636364
85,7,6,4,6,4,5,6,6,FALSE,79,5c475608cae0ab000188cb6e,5,718,521,0.55330974,255,0.09090909090909091
85,7,7,7,7,4,7,7,6,FALSE,10,574ce0a57fd0ec000db73aa6,6,718,521,0.55330974,255,0.09090909090909091
85,1,7,1,2,1,1,1,1,FALSE,15,623a732198d2a11b21faccc9,1.3333333333333333,718,521,0.55330974,255,0.09090909090909091
85,5,1,4,2,1,1,4,1,TRUE,75,5e63e24eaf3bd51660031dbe,1.3333333333333333,718,521,0.55330974,255,0.09090909090909091
85,6,4,4,7,1,4,6,5,FALSE,41,6318be45a49442eee3a88cb3,4,718,521,0.55330974,255,0.09090909090909091
85,5,4,1,4,4,2,4,3,FALSE,17,633edc50cfae73d4a72ca889,3.3333333333333335,718,521,0.55330974,255,0.09090909090909091
85,7,5,7,7,7,7,7,6,FALSE,75,58a1fe40ea3d11000170d9b9,7,718,521,0.55330974,255,0.09090909090909091
85,5,6,6,5,5,5,5,6,FALSE,9,65181c2f753b188afdddd2c4,5,718,521,0.55330974,255,0.09090909090909091
85,7,7,7,7,7,3,7,6,FALSE,30,60e36e6ecb9f00e7b4dab92e,5.666666666666667,718,521,0.55330974,255,0.09090909090909091
85,3,4,3,4,4,1,3,4,FALSE,19,650d919db7601b602ef62749,3,718,521,0.55330974,255,0.09090909090909091
85,4,2,1,2,2,1,1,1,FALSE,44,5acbd1ecf69e940001d9cd4d,1.6666666666666667,718,521,0.55330974,255,0.09090909090909091
86,7,5,4,6,5,2,5,6,FALSE,25,623a732198d2a11b21faccc9,4.333333333333333,1084,2099,0.6647006,115,0.5454545454545454
86,5,6,7,7,7,6,7,7,FALSE,27,5c8fa5789eb5720017f03079,6.666666666666667,1084,2099,0.6647006,115,0.5454545454545454
86,5,2,7,4,7,5,5,3,TRUE,20,64618c94bd9b28ed7b6472ce,5.333333333333333,1084,2099,0.6647006,115,0.5454545454545454
